Designator,Footprint,Quantity,Value,LCSC Part #
A1,BGA6N40P3X2_120X80X59,1,BMA530,
"C1, C5",0201,2,1uF,
C2,0402,1,10uF,
C3,0201,1,4.7uF,
C4,0201,1,100nF,
"MOUSE-BITE-1MM-3MM_2, MOUSE-BITE-1MM-3MM",mouse-bite-1mm-3mm,2,VAL**,
"R1, R2",0201,2,4.7k,
TP1,TestPoint_Pad_D1.0mm,1,SWDIO,
TP12,TestPoint_Pad_D1.0mm,1,P0.9,
TP13,TestPoint_Pad_D1.0mm,1,P0.8,
TP14,TestPoint_Pad_D1.0mm,1,P0.11,
TP15,TestPoint_Pad_D1.0mm,1,P0.10,
TP16,TestPoint_Pad_D1.0mm,1,P0.7,
TP17,TestPoint_Pad_D1.0mm,1,P0.6,
TP18,TestPoint_Pad_D1.0mm,1,P0.5,
TP2,TestPoint_Pad_D1.0mm,1,SWDCLK,
TP20,TestPoint_Pad_D1.0mm,1,P0.12,
TP3,TestPoint_Pad_D1.0mm,1,BAT+,
TP4,TestPoint_Pad_D1.0mm,1,BAT-,
TP5,TestPoint_Pad_D1.0mm,1,VIO,
U1,21-100264_90-100089_MXM,1,MAX32660GTG+T,
U2,CONV_XCL206B333CR-G,1,XCL202B331ER-G,
